튜토리얼ID,다음튜토리얼ID,그룹ID,그룹명,제목,설명,보상,시작대사,완료대사,실패대사,관련장비,관련자원,관련레시피
TUT_BUILD_003,TUT_BUILD_004,tutorial_build,건설 조작,화면 오른쪽 회전,E를 눌러 화면을 오른쪽으로 회전하세요.,,SCAII: 이번에는 반대 방향 회전을 확인하겠습니다. / SCAII: E를 눌러 화면을 오른쪽으로 회전해주세요.,SCAII: 시점 회전 기능 정상. / SCAII: 이제 설치물 방향을 조정하겠습니다. / SCAII: . 을 눌러 다음으로,,,물(resource_water),
TUT_BUILD_004,TUT_BUILD_005,tutorial_build,건설 조작,설치물 회전,R을 눌러 설치물 방향을 회전하세요.,,SCAII: 설비 방향은 이후의 입출력 배치에 영향을 줍니다. / SCAII: R을 눌러 설치물 방향을 회전해주세요.,SCAII: 설치물 회전을 확인했습니다. / SCAII: 이제 철거 기능을 확인하겠습니다. / SCAII: . 을 눌러 다음으로,,,물(resource_water),
TUT_BUILD_005,TUT_BUILD_006,tutorial_build,건설 조작,철거 모드 진입,X를 눌러 철거 모드로 전환하세요.,,SCAII: 불필요한 잔해는 자재로 재활용할 수 있습니다. / SCAII: 철거 모드로 전환해주세요.,SCAII: 철거 모드 진입을 확인했습니다. / SCAII: 탈출 포드를 바로 철거해주세요. / SCAII: . 을 눌러 다음으로,,,,
TUT_BUILD_006,TUT_BUILD_007,tutorial_build,건설 조작,탈출 포드 철거,탈출 포드를 철거해 자재를 회수하세요.,철괴(resource_iron_ingot) 10,SCAII: 가장 가까운 확보 가능한 자재는 탈출 포드 잔해입니다. / SCAII: 탈출 포드를 철거해 자재를 회수해주세요.,SCAII: 자재 회수를 확인했습니다. / SCAII: 이제 지형을 오르내릴 수 있는 발판을 설치하겠습니다. / SCAII: . 을 눌러 다음으로,,,철괴(resource_iron_ingot),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_BUILD_007,TUT_BUILD_008,tutorial_build,건설 조작,플랫폼 설치,F키로 평면 플랫폼 모드로 전환한 뒤 플랫폼을 설치하세요.,,SCAII: 평면 플랫폼은 발판과 작업 공간을 확보할 때 사용합니다. / SCAII: F키로 평면 플랫폼 모드로 전환한 뒤 설치해주세요.,SCAII: 평면 플랫폼 설치를 확인했습니다. / SCAII: 이번에는 높낮이를 연결할 경사면을 설치하겠습니다. / SCAII: . 을 눌러 다음으로,,,,
TUT_BUILD_008,TUT_BUILD_009,tutorial_build,건설 조작,경사면 설치,G키로 경사면 모드로 전환한 뒤 경사면을 설치하세요.,,SCAII: 경사면은 단차를 자연스럽게 오르내리게 해줍니다. / SCAII: G키로 경사면 모드로 전환한 뒤 설치해주세요.,SCAII: 경사면 설치를 확인했습니다. / SCAII: 마지막으로 수직 이동용 사다리를 설치하겠습니다. / SCAII: . 을 눌러 다음으로,,,,
TUT_BUILD_009,TUT_MINING_001,tutorial_build,건설 조작,사다리 설치,H키로 사다리 모드로 전환한 뒤 사다리를 설치하세요.,,SCAII: 사다리는 플랫폼을 올라갈 때 사용합니다.. / SCAII: H키로 사다리 모드로 전환한 뒤 설치해주세요.,SCAII: 사다리 설치를 확인했습니다. / SCAII: 이제 채굴 설비를 준비하겠습니다. / SCAII: . 을 눌러 다음으로,,,,
TUT_MINING_001,TUT_MINING_002,tutorial_mining,채굴,채굴기 선택,하단 UI 또는 단축키로 채굴기를 선택하세요.,,SCAII: 철 광석 확보를 위해 채굴기를 준비해주세요. / SCAII: 하단 UI 또는 단축키를 이용하면 됩니다.,SCAII: 채굴기 선택을 확인했습니다. / SCAII: 이제 철 광맥 옆의 설치 가능 위치를 확인해주세요. / SCAII: . 을 눌러 다음으로,,채굴기(equipment_miner_machine),철광석(resource_iron_ore),철괴 제작 공정(recipe_smelt_iron)
TUT_MINING_002,TUT_MINING_003,tutorial_mining,채굴,채굴기 위치 확인,철 광맥 옆에서 채굴기를 설치할 수 있는 위치를 확인하세요.,,SCAII: 채굴기는 철 광맥 바로 위가 아니라 옆에 설치되어야 합니다. / SCAII: 설치 가능한 위치로 미리보기가 표시되는 지점을 확인해주세요.,SCAII: 채굴기 설치 가능 위치를 확인했습니다. / SCAII: 이제 그 위치에 채굴기를 설치해주세요. / SCAII: . 을 눌러 다음으로,,채굴기(equipment_miner_machine),,
TUT_MINING_003,TUT_POWER_001,tutorial_mining,채굴,채굴기 설치 완료,철 광맥 옆에 채굴기를 설치해 자원 채굴을 시작할 준비를 마치세요.,철괴(resource_iron_ingot) 10,SCAII: 확인한 위치에 채굴기를 배치하겠습니다. / SCAII: 철 광맥 옆에 채굴기를 설치해주세요.,SCAII: 채굴기 설치를 확인했습니다. / SCAII: 하지만 전력 공급이 필요합니다. / SCAII: . 을 눌러 다음으로,,채굴기(equipment_miner_machine),철괴(resource_iron_ingot); 전력(resource_power),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_POWER_001,TUT_POWER_002,tutorial_power,전력,발전소 선택,하단 UI 또는 단축키로 발전소를 선택하세요.,,SCAII: 설비는 전력 없이는 작동하지 않습니다. / SCAII: 발전소를 선택해주세요.,SCAII: 발전소 선택을 확인했습니다. / SCAII: 이제 설치를 진행해주세요. / SCAII: . 을 눌러 다음으로,,발전소(equipment_power_plant),전력(resource_power),
TUT_POWER_002,TUT_POWER_003,tutorial_power,전력,발전소 설치 완료,발전소를 설치해 전력 생산 기반을 확보하세요.,철괴(resource_iron_ingot) 10,SCAII: 발전소를 설치해 전력 생산 기반을 확보하겠습니다. / SCAII: 설치를 완료해주세요.,SCAII: 전력 생산 기반이 확보되었습니다. / SCAII: 이제 송전 설비를 준비하겠습니다. / SCAII: . 을 눌러 다음으로,,발전소(equipment_power_plant),산(resource_acid); 철괴(resource_iron_ingot); 전력(resource_power),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_POWER_003,TUT_POWER_004,tutorial_power,전력,송전탑 선택,하단 UI 또는 단축키로 송전탑을 선택하세요.,,SCAII: 전력은 송전탑을 통해 주변 설비로 분배됩니다. / SCAII: 송전탑을 선택해주세요.,SCAII: 송전탑 선택을 확인했습니다. / SCAII: . 을 눌러 다음으로,,전력 노드(equipment_power_grid_node),전력(resource_power),
TUT_POWER_004,TUT_POWER_005,tutorial_power,전력,송전탑 설치 완료,송전탑을 설치해 전력 전달 준비를 마치세요.,철괴(resource_iron_ingot) 10,SCAII: 송전탑을 설치해 전력 전달 준비를 마치겠습니다. / SCAII: 설치를 완료해주세요.,SCAII: 송전탑 설치를 확인했습니다. / SCAII: 이제 설비를 연결하겠습니다. / SCAII: . 을 눌러 다음으로,,전력 노드(equipment_power_grid_node),철괴(resource_iron_ingot); 전력(resource_power),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_POWER_005,TUT_POWER_006,tutorial_power,전력,송전선 연결 시작,발전소에서 송전선 연결을 시작하세요.,,SCAII: 발전소에서 송전선을 끌어오세요. / SCAII: 연결을 시작해주세요.,SCAII: 연결 시작을 확인했습니다. / SCAII: 송전탑까지 연결을 마무리해주세요. / SCAII: . 을 눌러 다음으로,,전력 노드(equipment_power_grid_node); 발전소(equipment_power_plant),,
TUT_POWER_006,TUT_LOGI_001,tutorial_power,전력,송전선 연결 완료,발전소와 송전탑을 송전선으로 연결하세요.,철괴(resource_iron_ingot) 10,SCAII: 발전소와 송전탑을 송전선으로 연결해주세요. / SCAII: 연결이 완료되면 송전탑이 활성화됩니다.,SCAII: 송전 연결을 확인했습니다. / SCAII: 이제 채굴된 광석을 창고로 회수하겠습니다. / SCAII: . 을 눌러 다음으로,,전력 노드(equipment_power_grid_node); 발전소(equipment_power_plant); 저장고(equipment_storage),철괴(resource_iron_ingot),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_LOGI_001,TUT_LOGI_002,tutorial_logistics,물류,창고 포트 선택,하단 UI 또는 단축키로 창고 포트를 선택하세요.,,SCAII: 채굴기에서 나온 광석을 회수하려면 창고 포트가 필요합니다. / SCAII: 창고 포트를 선택해주세요.,SCAII: 창고 포트 선택을 확인했습니다. / SCAII: 이제 창고 포트를 설치해주세요. / SCAII: . 을 눌러 다음으로,,채굴기(equipment_miner_machine); 저장고(equipment_storage),,
TUT_LOGI_002,TUT_LOGI_003,tutorial_logistics,물류,창고 포트 설치,채굴기와 연결할 수 있도록 창고 포트를 설치하세요.,철괴(resource_iron_ingot) 10,SCAII: 이 위치의 창고 포트는 들어오는 물품을 자동으로 창고에 저장합니다. / SCAII: 별도의 출력 자원 설정은 필요하지 않습니다.,SCAII: 창고 포트 설치를 확인했습니다. / SCAII: 이제 채굴기와 창고 포트를 연결하겠습니다. / SCAII: . 을 눌러 다음으로,,채굴기(equipment_miner_machine); 저장고(equipment_storage),철괴(resource_iron_ingot); 물(resource_water),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_LOGI_003,TUT_LOGI_004,tutorial_logistics,물류,컨베이어 선택,하단 UI 또는 단축키로 컨베이어를 선택하세요.,,SCAII: 광석 운반에는 컨베이어를 사용합니다. / SCAII: 컨베이어를 선택해주세요.,SCAII: 컨베이어 선택을 확인했습니다. / SCAII: 채굴기에서 창고 포트까지 연결하겠습니다. / SCAII: . 을 눌러 다음으로,,컨베이어(equipment_conveyor); 채굴기(equipment_miner_machine); 저장고(equipment_storage),,
TUT_LOGI_004,TUT_LOGI_005,tutorial_logistics,물류,컨베이어 설치 완료,채굴기에서 창고 포트까지 컨베이어를 연결하세요.,철괴(resource_iron_ingot) 10,SCAII: 채굴기에서 창고 포트까지 컨베이어를 연결해주세요. / SCAII: 연결이 완료되면 광석이 자동으로 이동합니다.,SCAII: 컨베이어 연결을 확인했습니다. / SCAII: 이제 창고 저장 여부를 확인하겠습니다. / SCAII: . 을 눌러 다음으로,,컨베이어(equipment_conveyor); 채굴기(equipment_miner_machine); 저장고(equipment_storage),철괴(resource_iron_ingot),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_LOGI_005,TUT_SMELT_001,tutorial_logistics,물류,철 광석 창고 저장 확인,창고 포트로 들어온 철 광석이 자동으로 창고에 저장되는지 확인하세요.,철괴(resource_iron_ingot) 10,SCAII: 창고 포트로 들어온 광석은 자동으로 창고에 저장됩니다. / SCAII: 철 광석이 창고에 들어오는지 확인해주세요.,SCAII: 철 광석이 창고에 저장된 것을 확인했습니다. / SCAII: 이제 제련용 자원을 충분히 확보하겠습니다. / SCAII: . 을 눌러 다음으로,,저장고(equipment_storage),철괴(resource_iron_ingot); 철광석(resource_iron_ore),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_SMELT_001,TUT_POWER_007,tutorial_smelting,제련,철 광석 10개 생산,철 광석을 10개 확보하세요.,철괴(resource_iron_ingot) 10,SCAII: 제련을 시작하기 전에 철 광석을 조금 더 확보하겠습니다. / SCAII: 철 광석 10개를 모아주세요.,SCAII: 제련에 필요한 철 광석이 확보되었습니다. / SCAII: 하지만 현재 발전기 출력으로는 채굴기와 제련기를 함께 가동하기 어렵습니다. / SCAII: . 을 눌러 다음으로,,채굴기(equipment_miner_machine); 제련기(equipment_smelter),산(resource_acid); 철괴(resource_iron_ingot); 철광석(resource_iron_ore),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_POWER_007,TUT_POWER_008,tutorial_power,전력,추가 발전소 선택,하단 UI 또는 단축키로 발전소를 선택하세요.,,SCAII: 채굴기와 제련기는 각각 전력 10을 사용합니다. / SCAII: 안정적인 가동을 위해 발전소를 하나 더 준비해주세요.,SCAII: 추가 발전소 선택을 확인했습니다. / SCAII: 이제 발전소를 설치해 전력 여유를 확보해주세요. / SCAII: . 을 눌러 다음으로,,채굴기(equipment_miner_machine); 발전소(equipment_power_plant); 제련기(equipment_smelter),전력(resource_power),
TUT_POWER_008,TUT_SMELT_002,tutorial_power,전력,추가 발전소 설치,채굴기와 제련기를 함께 가동할 수 있도록 발전소 1기를 추가로 설치하세요.,철괴(resource_iron_ingot) 10,SCAII: 추가 발전소를 설치하면 채굴기와 제련기를 동시에 운용할 수 있습니다. / SCAII: 발전소 1기를 더 설치해주세요.,SCAII: 추가 발전소 설치를 확인했습니다. / SCAII: 이제 제련기를 설치하겠습니다. / SCAII: . 을 눌러 다음으로,,채굴기(equipment_miner_machine); 발전소(equipment_power_plant); 제련기(equipment_smelter),철괴(resource_iron_ingot),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_SMELT_002,TUT_LOGI_006,tutorial_smelting,제련,제련기 설치 완료,활성화된 송전탑 범위 안에 제련기를 설치해 가공 설비를 준비하세요.,철괴(resource_iron_ingot) 10,SCAII: 채굴한 광석은 제련기를 통해 철 주괴로 가공할 수 있습니다. / SCAII: 활성화된 송전탑 범위 안에 제련기를 설치해주세요.,SCAII: 제련기 설치를 확인했습니다. / SCAII: 이제 창고에서 철 광석을 꺼내 제련기로 보내겠습니다. / SCAII: . 을 눌러 다음으로,,전력 노드(equipment_power_grid_node); 제련기(equipment_smelter); 저장고(equipment_storage),철괴(resource_iron_ingot); 철광석(resource_iron_ore),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_LOGI_006,TUT_LOGI_007,tutorial_logistics,물류,창고 포트 선택,하단 UI 또는 단축키로 창고 포트를 선택하세요.,,SCAII: 제련기에 광석을 공급하려면 창고 포트가 필요합니다. / SCAII: 창고 포트를 선택해주세요.,SCAII: 창고 포트 선택을 확인했습니다. / SCAII: 제련기 입력 근처에 설치해주세요. / SCAII: . 을 눌러 다음으로,,제련기(equipment_smelter); 저장고(equipment_storage),,
TUT_LOGI_007,TUT_LOGI_008,tutorial_logistics,물류,창고 포트 설치,제련기 입력 포트 근처에 창고 포트를 설치하세요.,철괴(resource_iron_ingot) 10,SCAII: 이 위치의 창고 포트는 창고의 물품을 외부 설비로 보낼 수 있습니다. / SCAII: 제련기 입력 포트 근처에 설치해주세요.,SCAII: 창고 포트 설치를 확인했습니다. / SCAII: 이제 철 광석을 보낼 자원으로 선택해주세요. / SCAII: . 을 눌러 다음으로,,제련기(equipment_smelter); 저장고(equipment_storage),철괴(resource_iron_ingot); 철광석(resource_iron_ore); 물(resource_water),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_LOGI_008,TUT_LOGI_009,tutorial_logistics,물류,보낼 자원 설정,창고 포트가 내보낼 자원을 철 광석으로 설정하세요.,,SCAII: 창고 포트가 내보낼 자원을 철 광석으로 설정해주세요.,SCAII: 자원 설정을 확인했습니다. / SCAII: 컨베이어를 준비해주세요. / SCAII: . 을 눌러 다음으로,,컨베이어(equipment_conveyor); 저장고(equipment_storage),철광석(resource_iron_ore),철괴 제작 공정(recipe_smelt_iron)
TUT_LOGI_009,TUT_LOGI_010,tutorial_logistics,물류,컨베이어 선택,하단 UI 또는 단축키로 컨베이어를 선택하세요.,,SCAII: 창고 포트에서 제련기까지 물류를 연결하겠습니다. / SCAII: 컨베이어를 선택해주세요.,SCAII: 컨베이어 선택을 확인했습니다. / SCAII: 이제 제련기까지 연결해주세요. / SCAII: . 을 눌러 다음으로,,컨베이어(equipment_conveyor); 제련기(equipment_smelter); 저장고(equipment_storage),물(resource_water),
TUT_LOGI_010,TUT_LOGI_011,tutorial_logistics,물류,컨베이어 설치 완료,창고 포트와 제련기를 컨베이어로 연결하세요.,철괴(resource_iron_ingot) 10,SCAII: 창고 포트와 제련기를 컨베이어로 연결해주세요. / SCAII: 연결이 완료되면 광석이 자동으로 투입됩니다.,SCAII: 컨베이어 연결을 확인했습니다. / SCAII: 이제 생산된 철 주괴를 다시 창고로 회수하겠습니다. / SCAII: . 을 눌러 다음으로,,컨베이어(equipment_conveyor); 제련기(equipment_smelter); 저장고(equipment_storage),산(resource_acid); 철괴(resource_iron_ingot),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_LOGI_011,TUT_LOGI_012,tutorial_logistics,물류,창고 포트 선택,하단 UI 또는 단축키로 창고 포트를 선택하세요.,,SCAII: 제련기에서 나온 철 주괴를 보관하려면 창고 포트가 하나 더 필요합니다. / SCAII: 창고 포트를 선택해주세요.,SCAII: 창고 포트 선택을 확인했습니다. / SCAII: 제련기 출력 근처에 설치해주세요. / SCAII: . 을 눌러 다음으로,,제련기(equipment_smelter); 저장고(equipment_storage),철괴(resource_iron_ingot),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_LOGI_012,TUT_LOGI_013,tutorial_logistics,물류,창고 포트 설치,제련기 출력 포트 근처에 창고 포트를 설치하세요.,철괴(resource_iron_ingot) 10,SCAII: 이 창고 포트는 제련기에서 나온 결과물을 회수하는 위치가 됩니다. / SCAII: 제련기 출력 포트 근처에 설치해주세요.,SCAII: 창고 포트 설치를 확인했습니다. / SCAII: 이제 결과물 운반용 컨베이어를 준비하겠습니다. / SCAII: . 을 눌러 다음으로,,컨베이어(equipment_conveyor); 제련기(equipment_smelter); 저장고(equipment_storage),철괴(resource_iron_ingot); 물(resource_water),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_LOGI_013,TUT_LOGI_014,tutorial_logistics,물류,컨베이어 선택,하단 UI 또는 단축키로 컨베이어를 선택하세요.,,SCAII: 제련기와 창고 포트를 연결하려면 컨베이어가 필요합니다. / SCAII: 컨베이어를 선택해주세요.,SCAII: 컨베이어 선택을 확인했습니다. / SCAII: 이제 제련기와 창고 포트를 연결해주세요. / SCAII: . 을 눌러 다음으로,,컨베이어(equipment_conveyor); 제련기(equipment_smelter); 저장고(equipment_storage),,
TUT_LOGI_014,TUT_LOGI_015,tutorial_logistics,물류,컨베이어 설치 완료,제련기와 창고 포트를 컨베이어로 연결하세요.,철괴(resource_iron_ingot) 10,SCAII: 제련기 출력 포트에서 창고 포트까지 컨베이어를 연결해주세요. / SCAII: 연결이 완료되면 철 주괴가 자동으로 이동합니다.,SCAII: 결과물 회수 경로를 확인했습니다. / SCAII: 이제 철 주괴가 창고에 저장되는지 확인하겠습니다. / SCAII: . 을 눌러 다음으로,,컨베이어(equipment_conveyor); 제련기(equipment_smelter); 저장고(equipment_storage),철괴(resource_iron_ingot); 물(resource_water),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_LOGI_015,TUT_BASE_001,tutorial_logistics,물류,철 주괴 창고 저장 확인,생산된 철 주괴가 창고에 저장되는지 확인하세요.,철괴(resource_iron_ingot) 10,SCAII: 생산된 철 주괴가 창고에 저장되는지 확인해주세요. / SCAII: 이후부터는 이 생산 라인을 계속 확장할 수 있습니다.,SCAII: 철 주괴 저장을 확인했습니다. / SCAII: 이제 중앙 거점을 설치할 준비가 되었습니다. / SCAII: . 을 눌러 다음으로,,저장고(equipment_storage),산(resource_acid); 철괴(resource_iron_ingot),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_BASE_001,TUT_EXPAND_001,tutorial_base,tutorial_base,중앙 거점 설치,중앙 거점을 설치해 다음 개척 단계를 준비하세요.,,SCAII: 현재 생산 라인은 기본 생존과 확장을 위한 최소 조건을 충족했습니다. / SCAII: 이제 개척 활동의 중심이 될 중앙 거점을 설치해주세요.,SCAII: 중앙 거점 설치를 확인했습니다. / SCAII: 이제 생산 라인을 본격적으로 확장하겠습니다. / SCAII: . 을 눌러 다음으로,,,산(resource_acid),
TUT_EXPAND_001,TUT_EXPAND_002,tutorial_expand,공장 확장,철 주괴 10개 생산,제련기로 철 주괴 10개를 생산하세요.,철괴(resource_iron_ingot) 10,SCAII: 제련기로 철 주괴 10개를 생산해주세요. / SCAII: 기초 생산 라인의 안정성을 확인하겠습니다.,SCAII: 기초 생산 라인이 안정적으로 작동하고 있습니다. / SCAII: 이제 전력 설비를 확장하겠습니다. / SCAII: . 을 눌러 다음으로,,제련기(equipment_smelter),산(resource_acid); 철괴(resource_iron_ingot); 전력(resource_power),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_EXPAND_002,TUT_EXPAND_003,tutorial_expand,공장 확장,추가 발전소 설치,발전소 1기를 추가로 설치하세요.,,SCAII: 향후 설비 확장을 위해 전력 여유를 확보하겠습니다. / SCAII: 발전소 1기를 추가 설치해주세요.,SCAII: 추가 발전소를 확인했습니다. / SCAII: 송전 범위도 함께 확장하겠습니다. / SCAII: . 을 눌러 다음으로,,발전소(equipment_power_plant),전력(resource_power),
TUT_EXPAND_003,TUT_EXPAND_004,tutorial_expand,공장 확장,추가 송전탑 설치,송전탑 1기를 추가로 설치하세요.,,SCAII: 전력 범위를 넓혀 추가 설비를 수용하겠습니다. / SCAII: 송전탑 1기를 추가 설치해주세요.,SCAII: 추가 송전탑을 확인했습니다. / SCAII: 확장 설비까지 전력을 연결해주세요. / SCAII: . 을 눌러 다음으로,,전력 노드(equipment_power_grid_node),전력(resource_power),
TUT_EXPAND_004,TUT_EXPAND_005,tutorial_expand,공장 확장,확장 설비 전력 연결,추가 설비까지 전력을 연결하세요.,철괴(resource_iron_ingot) 10,SCAII: 추가 설비까지 전력을 연결해주세요. / SCAII: 전력망 확장 상태를 확인하겠습니다.,SCAII: 전력망 확장을 확인했습니다. / SCAII: 더 큰 설비도 운용할 수 있습니다. / SCAII: . 을 눌러 다음으로,,,철괴(resource_iron_ingot); 전력(resource_power),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_EXPAND_005,TUT_EXPAND_006,tutorial_expand,공장 확장,추가 채굴기 설치,채굴기 1기를 추가로 설치하세요.,,SCAII: 생산량 증대를 위해 채굴 설비를 확장해주세요. / SCAII: 채굴기 1기를 추가 설치해주세요.,SCAII: 추가 채굴기를 확인했습니다. / SCAII: 가공 속도도 함께 맞추겠습니다. / SCAII: . 을 눌러 다음으로,,채굴기(equipment_miner_machine),산(resource_acid),
TUT_EXPAND_006,TUT_EXPAND_007,tutorial_expand,공장 확장,추가 제련기 설치,제련기 1기를 추가로 설치하세요.,,SCAII: 가공 속도를 맞추기 위해 제련 설비도 확장하겠습니다. / SCAII: 제련기 1기를 추가 설치해주세요.,SCAII: 추가 제련기를 확인했습니다. / SCAII: 이제 자동 생산 라인을 완성하겠습니다. / SCAII: . 을 눌러 다음으로,,제련기(equipment_smelter),산(resource_acid),
