자원ID,자원명,종류,획득방법,생산장비,사용처,사용레시피,관련자원,원본이름,형태,물질계열,자원타입,시각색상,이미지에셋,스태틱메시에셋
resource_zinc_ingot,아연괴,가공 자원,아연괴은(는) 제련기(equipment_smelter)의 아연괴 제작 공정(recipe_smelt_zinc)에서 생산합니다.,제련기(equipment_smelter),관련 레시피 입력 재료로 사용,아연가루 제작 공정(recipe_crush_zinc),아연광석(resource_zinc_ore); 아연가루(resource_zinc_powder),zinc_ingot,고체,zinc,금속 주괴,"(R=0.72,G=0.77,B=0.84,A=1.0)",/Game/Assets/UIImg/Resource/zinc_ingot.zinc_ingot,
resource_zinc_powder,아연가루,가공 자원,아연가루은(는) 분쇄기(equipment_grinder)의 아연가루 제작 공정(recipe_crush_zinc)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,아연광석(resource_zinc_ore); 아연괴(resource_zinc_ingot),zinc_powder,고체,zinc,금속 분말,"(R=0.64,G=0.69,B=0.76,A=1.0)",/Game/Assets/UIImg/Resource/zinc_powder.zinc_powder,
resource_lead_ore,납광석,원재료,납광석은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,납괴 제작 공정(recipe_smelt_lead),납괴(resource_lead_ingot); 납가루(resource_lead_powder),lead_ore,고체,lead,금속 광석,"(R=0.32,G=0.34,B=0.39,A=1.0)",/Game/Assets/UIImg/Resource/lead_ore.lead_ore,
resource_lead_ingot,납괴,가공 자원,납괴은(는) 제련기(equipment_smelter)의 납괴 제작 공정(recipe_smelt_lead)에서 생산합니다.,제련기(equipment_smelter),관련 레시피 입력 재료로 사용,납가루 제작 공정(recipe_crush_lead),납광석(resource_lead_ore); 납가루(resource_lead_powder),lead_ingot,고체,lead,금속 주괴,"(R=0.47,G=0.50,B=0.58,A=1.0)",/Game/Assets/UIImg/Resource/lead_ingot.lead_ingot,
resource_lead_powder,납가루,가공 자원,납가루은(는) 분쇄기(equipment_grinder)의 납가루 제작 공정(recipe_crush_lead)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,납광석(resource_lead_ore); 납괴(resource_lead_ingot),lead_powder,고체,lead,금속 분말,"(R=0.40,G=0.42,B=0.49,A=1.0)",/Game/Assets/UIImg/Resource/lead_powder.lead_powder,
resource_tin_ore,주석광석,원재료,주석광석은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,주석괴 제작 공정(recipe_smelt_tin),주석괴(resource_tin_ingot); 주석가루(resource_tin_powder); 주석봉(resource_tin_bar); 주석선(resource_tin_wire); 주석판(resource_tin_plate),tin_ore,고체,tin,금속 광석,"(R=0.56,G=0.58,B=0.61,A=1.0)",/Game/Assets/UIImg/Resource/tin_ore.tin_ore,/Game/Assets/Ore/tin/SM_tin_ore.SM_tin_ore
resource_tin_ingot,주석괴,가공 자원,주석괴은(는) 제련기(equipment_smelter)의 주석괴 제작 공정(recipe_smelt_tin)에서 생산합니다.,제련기(equipment_smelter),관련 레시피 입력 재료로 사용,주석가루 제작 공정(recipe_crush_tin); 주석봉 제작 공정(recipe_make_tinbar); 주석선 제작 공정(recipe_make_tinwire); 주석판 제작 공정(recipe_make_tinplate),주석광석(resource_tin_ore); 주석가루(resource_tin_powder); 주석봉(resource_tin_bar); 주석선(resource_tin_wire); 주석판(resource_tin_plate),tin_ingot,고체,tin,금속 주괴,"(R=0.79,G=0.82,B=0.86,A=1.0)",/Game/Assets/UIImg/Resource/tin_ingot.tin_ingot,/Game/Assets/Ingot/tin/SM_tin_ingot.SM_tin_ingot
resource_tin_powder,주석가루,가공 자원,주석가루은(는) 분쇄기(equipment_grinder)의 주석가루 제작 공정(recipe_crush_tin)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,주석광석(resource_tin_ore); 주석괴(resource_tin_ingot); 주석봉(resource_tin_bar); 주석선(resource_tin_wire); 주석판(resource_tin_plate),tin_powder,고체,tin,금속 분말,"(R=0.70,G=0.73,B=0.78,A=1.0)",/Game/Assets/UIImg/Resource/tin_powder.tin_powder,
resource_aluminum_ore,알루미늄광석,원재료,알루미늄광석은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,알루미늄괴 제작 공정(recipe_smelt_aluminum),알루미늄괴(resource_aluminum_ingot); 알루미늄가루(resource_aluminum_powder),aluminum_ore,고체,aluminum,금속 광석,"(R=0.59,G=0.61,B=0.66,A=1.0)",/Game/Assets/UIImg/Resource/auminum_ore.auminum_ore,/Game/Assets/Ore/aluminum/SM_aluminum_ore.SM_aluminum_ore
resource_aluminum_ingot,알루미늄괴,가공 자원,알루미늄괴은(는) 제련기(equipment_smelter)의 알루미늄괴 제작 공정(recipe_smelt_aluminum)에서 생산합니다.,제련기(equipment_smelter),관련 레시피 입력 재료로 사용,알루미늄가루 제작 공정(recipe_crush_aluminum),알루미늄광석(resource_aluminum_ore); 알루미늄가루(resource_aluminum_powder),aluminum_ingot,고체,aluminum,금속 주괴,"(R=0.84,G=0.86,B=0.90,A=1.0)",/Game/Assets/UIImg/Resource/aluminum_ingot.aluminum_ingot,/Game/Assets/Ore/aluminum/SM_aluminum_ore.SM_aluminum_ingot
resource_aluminum_powder,알루미늄가루,가공 자원,알루미늄가루은(는) 분쇄기(equipment_grinder)의 알루미늄가루 제작 공정(recipe_crush_aluminum)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,알루미늄광석(resource_aluminum_ore); 알루미늄괴(resource_aluminum_ingot),aluminum_powder,고체,aluminum,금속 분말,"(R=0.75,G=0.77,B=0.81,A=1.0)",/Game/Assets/UIImg/Resource/aluminum_powder.aluminum_powder,
resource_nickel_ore,니켈광석,원재료,니켈광석은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,니켈괴 제작 공정(recipe_smelt_nickel),니켈괴(resource_nickel_ingot); 니켈가루(resource_nickel_powder),nickel_ore,고체,nickel,금속 광석,"(R=0.53,G=0.58,B=0.52,A=1.0)",/Game/Assets/UIImg/Resource/nickel_ore.nickel_ore,
resource_nickel_ingot,니켈괴,가공 자원,니켈괴은(는) 제련기(equipment_smelter)의 니켈괴 제작 공정(recipe_smelt_nickel)에서 생산합니다.,제련기(equipment_smelter),관련 레시피 입력 재료로 사용,니켈가루 제작 공정(recipe_crush_nickel),니켈광석(resource_nickel_ore); 니켈가루(resource_nickel_powder),nickel_ingot,고체,nickel,금속 주괴,"(R=0.72,G=0.77,B=0.71,A=1.0)",/Game/Assets/UIImg/Resource/nickel_ingot.nickel_ingot,
resource_nickel_powder,니켈가루,가공 자원,니켈가루은(는) 분쇄기(equipment_grinder)의 니켈가루 제작 공정(recipe_crush_nickel)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,니켈광석(resource_nickel_ore); 니켈괴(resource_nickel_ingot),nickel_powder,고체,nickel,금속 분말,"(R=0.64,G=0.69,B=0.63,A=1.0)",/Game/Assets/UIImg/Resource/nickel_powder.nickel_powder,
resource_tungsten_ore,텅스텐광석,원재료,텅스텐광석은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,텅스텐괴 제작 공정(recipe_smelt_tungsten),텅스텐괴(resource_tungsten_ingot); 텅스텐가루(resource_tungsten_powder),tungsten_ore,고체,tungsten,금속 광석,"(R=0.28,G=0.30,B=0.34,A=1.0)",/Game/Assets/UIImg/Resource/tungsten_ore.tungsten_ore,/Game/Assets/Ore/tungsten/SM_tungsten_ore.SM_tungsten_ore
resource_tungsten_ingot,텅스텐괴,가공 자원,텅스텐괴은(는) 제련기(equipment_smelter)의 텅스텐괴 제작 공정(recipe_smelt_tungsten)에서 생산합니다.,제련기(equipment_smelter),관련 레시피 입력 재료로 사용,텅스텐가루 제작 공정(recipe_crush_tungsten),텅스텐광석(resource_tungsten_ore); 텅스텐가루(resource_tungsten_powder),tungsten_ingot,고체,tungsten,금속 주괴,"(R=0.43,G=0.45,B=0.50,A=1.0)",/Game/Assets/UIImg/Resource/tungsten_ingot.tungsten_ingot,/Game/Assets/Ingot/tungsten/SM_tungsten_ingot.SM_tungsten_ingot
resource_tungsten_powder,텅스텐가루,가공 자원,텅스텐가루은(는) 분쇄기(equipment_grinder)의 텅스텐가루 제작 공정(recipe_crush_tungsten)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,텅스텐광석(resource_tungsten_ore); 텅스텐괴(resource_tungsten_ingot),tungsten_powder,고체,tungsten,금속 분말,"(R=0.35,G=0.37,B=0.42,A=1.0)",/Game/Assets/UIImg/Resource/tungsten_powder.tungsten_powder,
resource_titanium_ore,티타늄광석,원재료,티타늄광석은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,티타늄괴 제작 공정(recipe_smelt_titanium),티타늄괴(resource_titanium_ingot); 티타늄가루(resource_titanium_powder),titanium_ore,고체,titanium,금속 광석,"(R=0.45,G=0.49,B=0.57,A=1.0)",/Game/Assets/UIImg/Resource/titanium_ore.titanium_ore,/Game/Assets/Ore/titanium/SM_titanium_ore.SM_titanium_ore
resource_titanium_ingot,티타늄괴,가공 자원,티타늄괴은(는) 제련기(equipment_smelter)의 티타늄괴 제작 공정(recipe_smelt_titanium)에서 생산합니다.,제련기(equipment_smelter),관련 레시피 입력 재료로 사용,티타늄가루 제작 공정(recipe_crush_titanium),티타늄광석(resource_titanium_ore); 티타늄가루(resource_titanium_powder),titanium_ingot,고체,titanium,금속 주괴,"(R=0.73,G=0.78,B=0.86,A=1.0)",/Game/Assets/UIImg/Resource/titanium_ingot.titanium_ingot,/Game/Assets/Ingot/titanium/SM_titanium_ingot.SM_titanium_ingot
resource_titanium_powder,티타늄가루,가공 자원,티타늄가루은(는) 분쇄기(equipment_grinder)의 티타늄가루 제작 공정(recipe_crush_titanium)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,티타늄광석(resource_titanium_ore); 티타늄괴(resource_titanium_ingot),titanium_powder,고체,titanium,금속 분말,"(R=0.63,G=0.68,B=0.76,A=1.0)",/Game/Assets/UIImg/Resource/titanium_powder.titanium_powder,
resource_magnesium_ore,마그네슘광석,원재료,마그네슘광석은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,마그네슘괴 제작 공정(recipe_smelt_magnesium),마그네슘괴(resource_magnesium_ingot); 마그네슘가루(resource_magnesium_powder),magnesium_ore,고체,magnesium,금속 광석,"(R=0.62,G=0.67,B=0.63,A=1.0)",/Game/Assets/UIImg/Resource/magnesium_ore.magnesium_ore,
resource_magnesium_ingot,마그네슘괴,가공 자원,마그네슘괴은(는) 제련기(equipment_smelter)의 마그네슘괴 제작 공정(recipe_smelt_magnesium)에서 생산합니다.,제련기(equipment_smelter),관련 레시피 입력 재료로 사용,마그네슘가루 제작 공정(recipe_crush_magnesium),마그네슘광석(resource_magnesium_ore); 마그네슘가루(resource_magnesium_powder),magnesium_ingot,고체,magnesium,금속 주괴,"(R=0.82,G=0.86,B=0.83,A=1.0)",/Game/Assets/UIImg/Resource/magnesium_ingot.magnesium_ingot,
resource_magnesium_powder,마그네슘가루,가공 자원,마그네슘가루은(는) 분쇄기(equipment_grinder)의 마그네슘가루 제작 공정(recipe_crush_magnesium)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,마그네슘광석(resource_magnesium_ore); 마그네슘괴(resource_magnesium_ingot),magnesium_powder,고체,magnesium,금속 분말,"(R=0.74,G=0.78,B=0.75,A=1.0)",/Game/Assets/UIImg/Resource/magnesium_powder.magnesium_powder,
resource_gold_ore,금광석,원재료,금광석은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,금괴 제작 공정(recipe_smelt_gold),금괴(resource_gold_ingot); 금가루(resource_gold_powder),gold_ore,고체,gold,금속 광석,"(R=0.71,G=0.58,B=0.14,A=1.0)",/Game/Assets/UIImg/Resource/gold_ore.gold_ore,/Game/Assets/Ore/gold/SM_gold_ore.SM_gold_ore
resource_gold_ingot,금괴,가공 자원,금괴은(는) 제련기(equipment_smelter)의 금괴 제작 공정(recipe_smelt_gold)에서 생산합니다.,제련기(equipment_smelter),관련 레시피 입력 재료로 사용,금가루 제작 공정(recipe_crush_gold),금광석(resource_gold_ore); 금가루(resource_gold_powder),gold_ingot,고체,gold,금속 주괴,"(R=0.94,G=0.79,B=0.18,A=1.0)",/Game/Assets/UIImg/Resource/gold_ingot.gold_ingot,/Game/Assets/Ingot/gold/SM_gold_ingot.SM_gold_ingot
resource_gold_powder,금가루,가공 자원,금가루은(는) 분쇄기(equipment_grinder)의 금가루 제작 공정(recipe_crush_gold)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,금광석(resource_gold_ore); 금괴(resource_gold_ingot),gold_powder,고체,gold,금속 분말,"(R=0.88,G=0.73,B=0.16,A=1.0)",/Game/Assets/UIImg/Resource/gold_powder.gold_powder,
resource_silver_ore,은광석,원재료,은광석은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,은괴 제작 공정(recipe_smelt_silver),은괴(resource_silver_ingot); 은가루(resource_silver_powder),silver_ore,고체,silver,금속 광석,"(R=0.56,G=0.59,B=0.63,A=1.0)",/Game/Assets/UIImg/Resource/silver_ore.silver_ore,
resource_silver_ingot,은괴,가공 자원,은괴은(는) 제련기(equipment_smelter)의 은괴 제작 공정(recipe_smelt_silver)에서 생산합니다.,제련기(equipment_smelter),관련 레시피 입력 재료로 사용,은가루 제작 공정(recipe_crush_silver),은광석(resource_silver_ore); 은가루(resource_silver_powder),silver_ingot,고체,silver,금속 주괴,"(R=0.85,G=0.87,B=0.91,A=1.0)",/Game/Assets/UIImg/Resource/silver_ingot.silver_ingot,
resource_silver_powder,은가루,가공 자원,은가루은(는) 분쇄기(equipment_grinder)의 은가루 제작 공정(recipe_crush_silver)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,은광석(resource_silver_ore); 은괴(resource_silver_ingot),silver_powder,고체,silver,금속 분말,"(R=0.77,G=0.79,B=0.83,A=1.0)",/Game/Assets/UIImg/Resource/silver_powder.silver_powder,
resource_uranium,우라늄,원재료,우라늄은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),추가 사용처 확인 필요,,,uranium,고체,uranium,금속,"(R=0.38,G=0.96,B=0.22,A=1.0)",/Game/Assets/UIImg/Resource/uranium.uranium,
resource_sulfur_ore,황광석,원재료,황광석은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,황가루 제작 공정(recipe_crush_sulfur),황가루(resource_sulfur_powder),sulfur_ore,고체,sulfur,비금속 광석,"(R=0.93,G=0.82,B=0.15,A=1.0)",/Game/Assets/UIImg/Resource/sulfur_ore.sulfur_ore,
resource_sulfur_powder,황가루,가공 자원,황가루은(는) 분쇄기(equipment_grinder)의 황가루 제작 공정(recipe_crush_sulfur)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,황광석(resource_sulfur_ore),sulfur_powder,고체,sulfur,비금속 분말,"(R=0.96,G=0.86,B=0.18,A=1.0)",/Game/Assets/UIImg/Resource/sulfur_powder.sulfur_powder,
resource_sand,모래,원재료,모래은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,유리 제작 공정(recipe_make_glass),,sand,고체,sand,비금속 분말,"(R=0.82,G=0.74,B=0.55,A=1.0)",/Game/Assets/UIImg/Resource/sand.sand,
resource_glass,유리,가공 자원,유리은(는) 제련기(equipment_smelter)의 유리 제작 공정(recipe_make_glass)에서 생산합니다.,제련기(equipment_smelter),추가 사용처 확인 필요,,,glass,고체,glass,비금속,"(R=0.70,G=0.88,B=0.90,A=0.70)",/Game/Assets/UIImg/Resource/glass.glass,
resource_water,물,원재료,물은(는) 액체 자원 지점에서 펌프로 획득합니다.,펌프(equipment_pump),추가 사용처 확인 필요,,,water,액체,water,액체,"(R=0.275,G=0.588,B=1.0,A=0.35)",/Game/Assets/UIImg/Resource/water.water,
resource_waste_water,폐수,원재료,폐수은(는) 액체 자원 지점에서 펌프로 획득합니다.,펌프(equipment_pump),추가 사용처 확인 필요,,,waste_water,액체,wastewater,액체,"(R=0.431,G=0.49,B=0.275,A=0.55)",/Game/Assets/UIImg/Resource/waste_water.waste_water,
resource_acid,산,원재료,산은(는) 액체 자원 지점에서 펌프로 획득합니다.,펌프(equipment_pump),추가 사용처 확인 필요,,,acid,액체,acid,액체,"(R=0.471,G=1.0,B=0.431,A=0.28)",/Game/Assets/UIImg/Resource/acid.acid,
resource_petrolium,석유,원재료,석유은(는) 액체 자원 지점에서 펌프로 획득합니다.,펌프(equipment_pump),추가 사용처 확인 필요,,,petrolium,액체,petrolium,연료,"(R=0.176,G=0.149,B=0.118,A=0.72)",/Game/Assets/UIImg/Resource/petroleum.petroleum,
resource_mercury,수은,원재료,수은은(는) 액체 자원 지점에서 펌프로 획득합니다.,펌프(equipment_pump),추가 사용처 확인 필요,,,mercury,액체,mercury,금속,"(R=0.706,G=0.765,B=0.824,A=0.82)",/Game/Assets/UIImg/Resource/mercury.mercury,
resource_oxygen,산소,원재료,산소은(는) 기체 자원 지점에서 공기 압축기로 획득합니다.,공기 압축기(equipment_air_compressor),추가 사용처 확인 필요,,,oxygen,기체,oxygen,기체,"(R=0.61,G=0.84,B=1.0,A=0.35)",/Game/Assets/UIImg/Resource/oxygen.oxygen,
resource_hydrogen,수소,원재료,수소은(는) 기체 자원 지점에서 공기 압축기로 획득합니다.,공기 압축기(equipment_air_compressor),추가 사용처 확인 필요,,,hydrogen,기체,hydrogen,기체,"(R=0.88,G=0.97,B=1.0,A=0.25)",/Game/Assets/UIImg/Resource/hydrogen.hydrogen,
resource_nitrogen,질소,원재료,질소은(는) 기체 자원 지점에서 공기 압축기로 획득합니다.,공기 압축기(equipment_air_compressor),추가 사용처 확인 필요,,,nitrogen,기체,nitrogen,기체,"(R=0.40,G=0.62,B=0.95,A=0.35)",/Game/Assets/UIImg/Resource/nitorgen.nitorgen,
resource_helium,헬륨,원재료,헬륨은(는) 기체 자원 지점에서 공기 압축기로 획득합니다.,공기 압축기(equipment_air_compressor),추가 사용처 확인 필요,,,helium,기체,helium,기체,"(R=0.95,G=0.73,B=0.88,A=0.30)",/Game/Assets/UIImg/Resource/helium.helium,
resource_iron_bar,철근,가공 자원,철근은(는) 성형기(equipment_moldingmachine)의 철근 제작 공정(recipe_make_ironbar)에서 생산합니다.,성형기(equipment_moldingmachine),관련 레시피 입력 재료로 사용,통신탑 제작 공정(recipe_make_telecommunication_tower),철광석(resource_iron_ore); 철괴(resource_iron_ingot); 철가루(resource_iron_powder); 철선(resource_iron_wire); 철판(resource_iron_plate),iron_bar,고체,iron,금속 봉/막대,"(R=0.46,G=0.48,B=0.52,A=1.0)",/Game/Assets/UIImg/Resource/rebar.rebar,/Game/Assets/Resource/Bar/SM_Bar.SM_Bar
resource_iron_wire,철선,가공 자원,철선은(는) 성형기(equipment_moldingmachine)의 철선 제작 공정(recipe_make_ironwire)에서 생산합니다.,성형기(equipment_moldingmachine),추가 사용처 확인 필요,,철광석(resource_iron_ore); 철괴(resource_iron_ingot); 철가루(resource_iron_powder); 철근(resource_iron_bar); 철판(resource_iron_plate),iron_wire,고체,iron,금속 선,"(R=0.60,G=0.62,B=0.66,A=1.0)",/Game/Assets/UIImg/Resource/copperwire.copperwire,/Game/Assets/Resource/Wire/SM_wire.SM_wire
resource_iron_plate,철판,가공 자원,철판은(는) 성형기(equipment_moldingmachine)의 철판 제작 공정(recipe_make_ironplate)에서 생산합니다.,성형기(equipment_moldingmachine),추가 사용처 확인 필요,,철광석(resource_iron_ore); 철괴(resource_iron_ingot); 철가루(resource_iron_powder); 철근(resource_iron_bar); 철선(resource_iron_wire),iron_plate,고체,iron,금속 판,"(R=0.60,G=0.63,B=0.68,A=1.0)",/Game/Assets/UIImg/Resource/tinboard.tinboard,/Game/Assets/Resource/Plate/SM_plate.SM_plate
